Index,LowerBound,UpperBound,mcmean,truemean
+218,+2.87586e+00,+3.14135e+00,+3.00861e+00,+3.00000e+00
+219,+2.87104e+00,+3.13592e+00,+3.00348e+00,+3.00000e+00
+220,+2.87204e+00,+3.13632e+00,+3.00418e+00,+3.00000e+00
+221,+2.87071e+00,+3.13439e+00,+3.00255e+00,+3.00000e+00
+222,+2.85882e+00,+3.12190e+00,+2.99036e+00,+3.00000e+00
+223,+2.85098e+00,+3.11348e+00,+2.98223e+00,+3.00000e+00
+224,+2.84623e+00,+3.10814e+00,+2.97718e+00,+3.00000e+00
+225,+2.84887e+00,+3.11020e+00,+2.97954e+00,+3.00000e+00
+226,+2.85327e+00,+3.11402e+00,+2.98365e+00,+3.00000e+00
+227,+2.84748e+00,+3.10766e+00,+2.97757e+00,+3.00000e+00
+228,+2.84785e+00,+3.10746e+00,+2.97765e+00,+3.00000e+00
+229,+2.84753e+00,+3.10656e+00,+2.97704e+00,+3.00000e+00
+230,+2.85291e+00,+3.11139e+00,+2.98215e+00,+3.00000e+00
+231,+2.86112e+00,+3.11903e+00,+2.99007e+00,+3.00000e+00
+232,+2.86971e+00,+3.12707e+00,+2.99839e+00,+3.00000e+00
+233,+2.86178e+00,+3.11859e+00,+2.99019e+00,+3.00000e+00
+234,+2.87148e+00,+3.12774e+00,+2.99961e+00,+3.00000e+00
+235,+2.86469e+00,+3.12040e+00,+2.99255e+00,+3.00000e+00
+236,+2.86245e+00,+3.11762e+00,+2.99003e+00,+3.00000e+00
+237,+2.85972e+00,+3.11434e+00,+2.98703e+00,+3.00000e+00
+238,+2.86066e+00,+3.11475e+00,+2.98771e+00,+3.00000e+00
+239,+2.86377e+00,+3.11733e+00,+2.99055e+00,+3.00000e+00
+240,+2.86444e+00,+3.11747e+00,+2.99095e+00,+3.00000e+00
+241,+2.86714e+00,+3.11965e+00,+2.99339e+00,+3.00000e+00
+242,+2.86136e+00,+3.11334e+00,+2.98735e+00,+3.00000e+00
+243,+2.85631e+00,+3.10777e+00,+2.98204e+00,+3.00000e+00
+244,+2.85134e+00,+3.10228e+00,+2.97681e+00,+3.00000e+00
+245,+2.85400e+00,+3.10444e+00,+2.97922e+00,+3.00000e+00
+246,+2.85938e+00,+3.10931e+00,+2.98435e+00,+3.00000e+00
+247,+2.86113e+00,+3.11054e+00,+2.98583e+00,+3.00000e+00
+248,+2.86078e+00,+3.10970e+00,+2.98524e+00,+3.00000e+00
+249,+2.86111e+00,+3.10953e+00,+2.98532e+00,+3.00000e+00
+250,+2.86494e+00,+3.11286e+00,+2.98890e+00,+3.00000e+00
+251,+2.86079e+00,+3.10822e+00,+2.98451e+00,+3.00000e+00
+252,+2.85286e+00,+3.09980e+00,+2.97633e+00,+3.00000e+00
+253,+2.86020e+00,+3.10664e+00,+2.98342e+00,+3.00000e+00
+254,+2.85646e+00,+3.10242e+00,+2.97944e+00,+3.00000e+00
+255,+2.85605e+00,+3.10152e+00,+2.97878e+00,+3.00000e+00
+256,+2.86172e+00,+3.10672e+00,+2.98422e+00,+3.00000e+00
+257,+2.86331e+00,+3.10783e+00,+2.98557e+00,+3.00000e+00
+258,+2.86591e+00,+3.10995e+00,+2.98793e+00,+3.00000e+00
+259,+2.86086e+00,+3.10443e+00,+2.98264e+00,+3.00000e+00
+260,+2.86292e+00,+3.10602e+00,+2.98447e+00,+3.00000e+00
+261,+2.86295e+00,+3.10559e+00,+2.98427e+00,+3.00000e+00
+262,+2.86937e+00,+3.11154e+00,+2.99046e+00,+3.00000e+00
+263,+2.86687e+00,+3.10858e+00,+2.98773e+00,+3.00000e+00
+264,+2.87242e+00,+3.11367e+00,+2.99304e+00,+3.00000e+00
+265,+2.87315e+00,+3.11395e+00,+2.99355e+00,+3.00000e+00
+266,+2.87133e+00,+3.11168e+00,+2.99151e+00,+3.00000e+00
+267,+2.87849e+00,+3.11838e+00,+2.99843e+00,+3.00000e+00
+268,+2.88333e+00,+3.12278e+00,+3.00305e+00,+3.00000e+00
+269,+2.88204e+00,+3.12105e+00,+3.00155e+00,+3.00000e+00
